35.91 2014 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 22278 17 2 2 1 1 1
40.5 2014 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 27161 17 2 2 1 1 1
36.07 2014 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 24952 17 2 2 1 1 1
40.5 2014 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 22717 17 2 2 1 2 1
40.55 2014 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 26388 17 2 2 1 2 1
104.85 2004 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 14593 8 2 1 1 2 0
40.59 2014 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 23159 17 2 2 1 2 1
133 2006 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 16166 8 4 2 1 2 0
95.99 2003 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 16669 8 2 2 1 1 0
101.5 2003 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 15271 7 2 2 1 2 0
126 2003 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 16429 8 3 1 1 2 0
101.5 2004 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 15271 7 3 2 1 1 0
134.71 2009 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 14476 19 3 2 1 1 1
132.67 2008 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 26608 18 3 2 1 2 1
92.83 2008 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 20468 19 2 1 1 1 1
143 2008 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 21329 11 3 2 1 2 1
130.3 2009 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 22794 19 3 2 1 2 1
137.42 2008 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 35512 12 5 2 1 2 1
91.75 2008 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 28229 19 2 1 1 1 1
92.83 2008 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 27793 19 2 2 1 1 1
91.75 2008 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 27030 19 2 2 1 1 1
136.44 2008 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 25580 19 3 2 1 2 1
79.99 2008 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 25004 19 2 1 1 1 1
65.77 2010 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 23796 32 1 1 1 1 1
66 2010 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 24394 32 2 1 1 1 1
66 2010 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 25455 32 1 1 1 1 1
66 2010 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 23788 32 1 2 1 1 1
66 2010 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 24394 32 2 1 1 1 1
90.63 2010 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 23906 32 2 2 1 1 1
67 2010 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 25075 32 1 1 1 1 1
187.69 2010 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 24136 32 4 2 1 2 1
90.79 2010 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 35247 32 3 2 1 1 1
90.63 2010 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 36412 32 3 2 1 1 1
65.77 2010 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 36339 32 2 1 1 1 1
65.77 2010 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 36187 32 1 2 1 1 1
66 2010 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 36940 32 1 1 1 1 1
90.63 2010 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 38950 32 3 2 1 1 1
96.47 2010 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 39702 32 3 2 1 1 1
90.63 2010 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 2 44688 32 3 2 1 1 1
65.77 2010 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 42573 32 1 1 1 1 1
96.47 2010 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 41464 32 3 2 1 1 1
90.63 2010 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 44136 32 3 2 1 1 1
